idPedido_PK,dataEntrega,dataSolicitacao,destino,statusPedido,destinatario,idCliente_FK
59,2019-03-13,2018-11-18,"2 Maywood Park","Não entregue","Vale Boich",66
60,2019-03-14,2018-08-20,"967 Namekagon Crossing","Não entregue","Edgar Iacovaccio",7
61,2019-03-23,2018-10-04,"6902 Erie Street",Entregue,"Tamma Tomaszewicz",85
62,2019-03-02,2018-11-11,"35 Messerschmidt Place",Entregue,"Hartwell Cohen",81
63,2019-04-23,2018-12-19,"00 6th Point","Em rota","Cecil Bengoechea",68
64,2019-05-13,2018-07-02,"3 Leroy Court",Entregue,"Mohandis Ciciura",41
65,2019-04-27,2018-09-13,"445 Larry Crossing","Em rota","Christopher Taaffe",60
66,2019-06-01,2018-09-04,"374 Washington Crossing","Em rota","Silas Smithson",10
67,2019-05-18,2018-08-23,"59733 Pawling Park","Em rota","Sadie Jekel",96
68,2019-02-14,2018-12-22,"04344 Continental Terrace",Entregue,"Adelle Blagburn",64
69,2019-06-04,2018-08-05,"4232 Dovetail Point","Em rota","Jacenta Joynes",86
70,2019-02-03,2018-07-22,"673 Brentwood Circle",Entregue,"Marabel Lygoe",29
71,2019-05-11,2018-09-09,"87210 Jenifer Hill","Em rota","Burke Petegre",95
72,2019-03-20,2018-10-27,"96 Pawling Lane","Não entregue","Giraldo Decayette",51
73,2019-05-05,2018-08-05,"96 Kings Way",Entregue,"Wolfgang Knagges",18
74,2019-02-03,2018-06-19,"7 Amoth Circle","Em rota","Harmony Gummie",85
75,2019-02-15,2018-10-16,"55166 5th Alley","Não entregue","Emelen Narramore",26
76,2019-05-21,2018-12-16,"860 Artisan Alley",Entregue,"Seana Saint",86
77,2019-03-21,2018-11-08,"25 Service Pass","Em rota","Chickie Yegorov",30
78,2019-01-17,2018-11-16,"8 Hooker Way",Entregue,"Berrie Arthur",36
79,2019-01-20,2018-07-31,"3930 Cherokee Drive",Entregue,"Gnni Cardon",39
80,2019-02-04,2018-09-02,"100 Amoth Road","Em rota","Alysia Critchard",56
81,2019-01-14,2018-07-01,"0 Novick Terrace",Entregue,"Gray Beviss",26
82,2019-01-20,2018-12-17,"8915 Columbus Alley","Em rota","Neel Ashworth",4
83,2019-01-21,2018-06-25,"10359 Maple Lane",Entregue,"Cris Hegdonne",68
84,2019-01-19,2018-07-06,"78 Northland Way","Não entregue","Austin Desport",38
85,2019-04-18,2018-06-26,"175 Veith Street",Entregue,"Sharai Glowacz",5
86,2019-03-05,2018-09-27,"6 Claremont Parkway",Entregue,"Nanette Brackpool",83
87,2019-04-01,2018-12-11,"4503 Glendale Court","Em rota","Valentin Shevelin",43
88,2019-05-20,2018-11-30,"541 Dexter Center",Entregue,"Cobb Swalough",22
89,2019-01-04,2018-09-26,"185 Quincy Trail","Não entregue","Lynnette Kimbell",15
90,2019-01-20,2018-09-07,"998 Crowley Avenue",Entregue,"Cobby Seakings",15
91,2019-03-06,2018-08-06,"1 David Crossing","Em rota","Hertha Lecount",89
92,2019-04-27,2018-12-25,"43 Forest Road","Não entregue","Fleming Bounds",32
93,2019-03-04,2018-09-08,"10 Troy Road","Em rota","Margo Courtes",13
94,2019-05-16,2018-10-22,"10 Schurz Park","Não entregue","Osmund Heimes",4
95,2019-02-25,2018-07-26,"8080 Truax Pass","Em rota","Petronilla Hogbin",60
96,2019-04-22,2018-10-31,"180 Susan Court","Em rota","Derward Brick",7
97,2019-03-06,2018-12-30,"564 Old Shore Street","Não entregue","Charlton Tuma",56
98,2019-01-02,2018-12-04,"0 Kinsman Pass","Em rota","Kiel Pena",93
99,2019-05-28,2018-12-15,"0568 Mcbride Way","Não entregue","Brnaby Riditch",58
100,2019-02-06,2018-08-03,"782 Fuller Road","Em rota","Alexi Labba",70
101,2019-05-28,2018-07-14,"186 Raven Alley","Não entregue","Gabrielle Jeannot",23
102,2019-01-08,2018-06-28,"4 Parkside Parkway","Não entregue","Phillip Wackly",6
103,2019-03-27,2018-10-11,"12892 Dottie Pass","Em rota","Silva Miliffe",69
104,2019-05-27,2018-12-09,"72570 Graceland Center","Em rota","Jasmina Tuckie",82
105,2019-01-15,2018-07-25,"7 Myrtle Plaza","Em rota","Dulci Stroud",91
106,2019-04-02,2018-12-28,"7 Bobwhite Circle",Entregue,"Leanor Margrem",92
107,2019-05-09,2018-08-13,"85 Larry Road","Não entregue","Chere Ponder",84
108,2019-03-24,2018-10-03,"82 Buhler Lane","Não entregue","Rubin Durrand",63
109,2019-01-05,2018-09-29,"93 Northport Park",Entregue,"Holli Gallagher",51
110,2019-03-01,2018-12-09,"0083 Crowley Point","Em rota","Nichol Penvarden",4
111,2019-01-04,2018-07-05,"17 Corry Trail","Não entregue","Devi Backler",87
112,2019-04-29,2018-10-19,"6 Lakewood Gardens Alley","Não entregue","Sukey Bouchard",46
113,2019-01-24,2018-06-14,"44110 Killdeer Junction",Entregue,"Sissy McKennan",80
114,2019-03-09,2018-10-02,"430 Surrey Terrace",Entregue,"Sammy Sneesbie",95
115,2019-01-29,2018-12-19,"716 Pierstorff Way","Em rota","Bobbie Ferrick",22
116,2019-05-24,2018-11-24,"4525 Shoshone Drive",Entregue,"Thorpe Reichhardt",12
117,2019-01-08,2018-09-13,"7246 Iowa Pass","Em rota","Jacky Grundle",93
118,2019-03-27,2018-08-26,"29 East Terrace","Em rota","Emanuel Menel",80
119,2019-05-24,2018-12-27,"7 Debra Plaza",Entregue,"Guthrey Jobke",10
120,2019-01-01,2018-10-31,"56 Stuart Pass",Entregue,"Archibaldo Heyns",14
121,2019-03-08,2018-07-20,"19 Clarendon Court","Não entregue","Purcell Rubanenko",11
122,2019-02-23,2018-08-18,"1246 Eagle Crest Circle",Entregue,"Hermione Billes",53
123,2019-03-04,2018-12-01,"58165 American Street",Entregue,"Fredra St. Ledger",38
124,2019-02-09,2018-11-22,"0 Arapahoe Terrace","Em rota","Eddie Wenzel",84
125,2019-01-29,2018-11-12,"96127 Summerview Avenue",Entregue,"Marquita Magnus",64
126,2019-01-27,2018-07-04,"5 Summerview Court","Não entregue","Marita Grainger",21
127,2019-03-22,2018-09-07,"3743 Elgar Trail",Entregue,"Freddie Taggert",65
128,2019-01-12,2018-09-18,"593 Montana Center",Entregue,"Rafael Drysdall",78
129,2019-05-13,2018-06-18,"2 Brickson Park Crossing","Em rota","Delly Keeffe",85
130,2019-04-12,2018-09-22,"91675 Barby Alley","Não entregue","Olivia Simison",42
131,2019-03-13,2018-08-13,"42047 Maryland Avenue","Não entregue","Lida Brychan",24
132,2019-04-11,2018-10-11,"72 Fieldstone Junction","Em rota","Barr Roblou",51
133,2019-01-28,2018-06-20,"034 Tony Park",Entregue,"Henryetta Penrice",55
134,2019-02-25,2018-12-07,"697 Badeau Junction","Em rota","Frank Noteyoung",16
135,2019-05-12,2018-08-19,"7493 Dovetail Way","Em rota","Arthur Zanetti",76
136,2019-02-19,2018-07-16,"7 Rigney Drive","Em rota","Scarface Twomey",94
137,2019-03-02,2018-11-15,"46 Tennessee Avenue","Não entregue","Chere Tedder",50
138,2019-02-21,2018-12-19,"7560 Hoepker Center","Em rota","Karna Martinelli",88
139,2019-01-25,2018-09-06,"733 Thackeray Hill",Entregue,"Bud Grimsditch",49
140,2019-03-26,2018-08-10,"9 Hudson Circle","Em rota","Elyse Maffin",37
141,2019-03-06,2018-07-10,"441 Tony Parkway",Entregue,"Jazmin Subhan",1
142,2019-02-10,2018-11-26,"79 Texas Hill","Não entregue","Lenee Stanborough",38
143,2019-05-19,2018-07-16,"5 Westport Center","Em rota","Blair Newcom",6
144,2019-05-30,2018-07-06,"3 Brentwood Plaza","Não entregue","Madeleine Banes",41
145,2019-04-18,2018-08-13,"20702 Surrey Plaza",Entregue,"Hall Gutowska",78
146,2019-02-05,2018-12-13,"1 Tony Road","Em rota","Cecile Burnup",27
147,2019-02-12,2018-10-20,"38257 Acker Trail",Entregue,"Jozef Dummett",20
148,2019-03-17,2018-07-15,"86 Crest Line Court",Entregue,"Elbertina Roll",97
149,2019-01-04,2018-08-08,"0189 Granby Point","Não entregue","Olivier Pirolini",82
150,2019-03-12,2018-10-23,"79 Meadow Vale Alley","Em rota","Elwood Aucourte",97
151,2019-01-19,2018-10-04,"678 Hollow Ridge Place","Em rota","Therese Kuhl",85
152,2019-04-11,2018-10-07,"7731 Northridge Point","Em rota","Halsy Crilley",47
153,2019-05-17,2018-08-27,"8330 Dawn Circle","Em rota","Mada La Batie",45
154,2019-03-07,2018-08-14,"134 Sachtjen Center","Em rota","Patricio Iwanicki",18
155,2019-04-30,2018-09-30,"5 Packers Crossing","Em rota","Dolf Dannel",34
156,2019-01-27,2018-12-14,"94681 Melody Pass","Em rota","Sergeant Wigfall",97
157,2019-05-03,2018-11-24,"9590 Becker Hill","Não entregue","Gian Palphramand",51
158,2019-05-06,2018-09-08,"232 Glendale Plaza","Não entregue","Phillipe Ascroft",9
159,2019-01-01,2018-06-25,"39 Memorial Street","Não entregue","Mahalia Ferre",32
160,2019-05-11,2018-11-01,"98 Stone Corner Terrace","Não entregue","Gabi Yearns",60
161,2019-03-26,2018-09-05,"22890 Sutteridge Road","Em rota","Rick Dunkerk",68
162,2019-03-14,2018-07-23,"7379 Packers Junction",Entregue,"Ilise Poolton",39
163,2019-02-07,2018-08-20,"1590 Delladonna Street","Em rota","Dannie Gandley",49
164,2019-03-09,2018-08-03,"9 Talisman Park","Em rota","Berke Stride",11
165,2019-02-09,2018-08-13,"21 Claremont Avenue",Entregue,"Tiffany Beardall",73
166,2019-05-28,2018-11-19,"6402 Dottie Center","Em rota","Laney Freeland",18
167,2019-02-16,2018-09-10,"73 Mccormick Point","Não entregue","Asa Smurthwaite",34
168,2019-03-17,2018-07-07,"1233 Sutherland Center","Em rota","Fiona Salamon",99
169,2019-01-28,2018-09-16,"6 Forest Dale Lane","Não entregue","Dacia Peckitt",78
170,2019-03-19,2018-11-10,"6904 Crowley Circle",Entregue,"Shayne Mathias",7
171,2019-01-12,2018-06-11,"28727 Chinook Hill",Entregue,"Sim Tommen",18
172,2019-06-08,2018-11-08,"9 Grayhawk Alley","Não entregue","Pascal Darbyshire",90
173,2019-05-31,2018-11-15,"4267 Tony Plaza","Não entregue","Marijn Laughrey",72
174,2019-04-16,2018-09-06,"1064 Cardinal Road","Em rota","Katrine Pennrington",73
175,2019-01-26,2018-12-05,"9 Doe Crossing Point","Em rota","Koo Poznan",88
176,2019-01-12,2018-12-18,"4642 Nevada Circle",Entregue,"Flynn Golson",68
177,2019-02-10,2018-07-20,"0280 Miller Road",Entregue,"Leontine Widdison",66
178,2019-04-14,2018-10-01,"9 Sherman Hill","Em rota","Seana Grog",82
179,2019-05-19,2018-12-12,"571 Sauthoff Point","Não entregue","Mickie Clayfield",7
180,2019-06-03,2018-10-13,"9846 Homewood Crossing","Não entregue","Ulrikaumeko Liccardi",18
181,2019-04-02,2018-08-06,"2420 Westport Alley","Em rota","Daveta Joice",53
182,2019-04-29,2018-09-02,"82222 John Wall Junction","Em rota","Jennette Shurey",77
183,2019-06-06,2018-11-08,"730 Nevada Place",Entregue,"Orrin Dowse",68
184,2019-03-19,2018-08-29,"8 Pawling Court",Entregue,"Daisi Stalman",69
185,2019-04-22,2018-12-13,"2 Brentwood Circle","Não entregue","Benjie O'Doherty",30
186,2019-03-19,2018-07-15,"27 Ridgeview Alley",Entregue,"Weston Mould",74
187,2019-02-11,2018-06-25,"11 Dorton Junction",Entregue,"Mahala Farlham",10
188,2019-06-10,2018-11-07,"5 Arizona Street","Não entregue","Nicholle Hugill",46
189,2019-04-05,2018-07-24,"64 Algoma Trail","Não entregue","Oona Vedekhin",85
190,2019-01-24,2018-08-27,"5825 Lerdahl Parkway","Em rota","Rhys Rickson",20
191,2019-02-07,2018-06-15,"18 Meadow Vale Drive","Em rota","Curt Purves",68
192,2019-05-19,2018-08-11,"82 Memorial Junction","Em rota","Flossi Rupert",25
193,2019-06-07,2018-10-25,"9308 Carey Trail","Em rota","Lura Chaves",90
194,2019-04-07,2018-07-19,"09 Old Gate Way",Entregue,"Franny Elliot",67
195,2019-05-02,2018-11-27,"49 Truax Point",Entregue,"Heath Chieco",11
196,2019-01-08,2018-09-11,"9166 Roxbury Hill",Entregue,"Elfrida Harradence",19
197,2019-03-19,2018-06-17,"783 Pawling Center","Em rota","Corey Sweating",24
198,2019-05-11,2018-09-21,"32 Esker Park","Não entregue","Tyrus Itshak",95
199,2019-03-26,2018-12-26,"9401 Badeau Drive","Não entregue","Amargo Dumingos",1
200,2019-01-17,2018-11-24,"9 Anzinger Road","Em rota","Samaria Floyd",47
