emailFuncionario,dataContratacao,salario,endereco,matricula,rg,idFuncionario_PK,telefone,dataNascimento,departamento,idUnidade_FK
jbriston1z@globo.com,2019-04-14,5038.39,"888 Division Alley",190989,705110189,72,8664815040,1978-12-02,"Research and Development",88
zmcinally20@nationalgeographic.com,2018-07-03,5436.29,"2 Amoth Lane",599967,80103848,73,5915792364,1998-01-16,"Human Resources",58
igillies21@bluehost.com,2018-06-12,3409.91,"344 Northland Road",173814,256729212,74,1987124977,1995-05-23,Accounting,18
bleachman22@networkadvertising.org,2017-08-20,6474.27,"261 Hansons Court",247915,497107232,75,5008774776,1981-10-29,Sales,1
gmattusevich23@angelfire.com,2019-05-28,2800.02,"97550 Anzinger Hill",757422,73580423,76,9353905779,1997-03-07,Sales,19
dstreetley24@economist.com,2018-04-11,2141.55,"1562 Petterle Center",943424,667978077,77,7051739064,1992-08-11,"Business Development",24
hnehl25@sogou.com,2019-03-31,661.32,"356 Mariners Cove Place",598610,729590217,78,3112949126,1994-07-06,"Product Management",51
dnunns26@state.gov,2019-04-29,5808.31,"1 Summerview Point",483220,187534941,79,9433263193,1980-10-16,Engineering,94
apawle27@dell.com,2018-11-08,9415.98,"32821 Mendota Alley",480814,649815169,80,2146657768,1997-01-21,Sales,55
pdoxey28@wix.com,2017-12-22,2640.01,"07 Lillian Center",674404,265015458,81,5016403513,1978-01-20,"Business Development",39
pjewers29@acquirethisname.com,2018-02-11,14.54,"784 Dapin Point",828506,550244914,82,8278919986,1995-06-21,Marketing,91
cdemann2a@creativecommons.org,2019-03-13,8617.67,"5328 5th Road",352374,552273898,83,8452722306,1989-08-06,Training,60
dedridge2b@weebly.com,2018-09-13,9042.35,"429 Paget Way",732260,294175258,84,3745964136,1975-06-15,Engineering,80
rhanrott2c@reuters.com,2018-11-01,4588.35,"36942 Carberry Point",880322,591265605,85,8694934217,1972-03-31,Marketing,41
geades2d@symantec.com,2019-03-18,3816.13,"038 Ridge Oak Terrace",598678,694405807,86,6641557319,1994-10-01,Services,13
iodoogan2e@phpbb.com,2019-04-15,4493.48,"135 Loeprich Terrace",670711,780737473,87,5544586303,1984-02-24,Training,89
ileet2f@wikispaces.com,2019-05-05,8056.63,"255 Birchwood Trail",345991,652576092,88,3626149207,1999-04-13,Legal,93
npoli2g@mozilla.org,2018-03-29,375.26,"62430 Truax Court",22921,979974970,89,2938038508,1971-08-19,Engineering,79
sitscowics2h@phoca.cz,2018-03-22,5021.99,"74506 Marquette Drive",179650,332280520,90,9191410393,1976-05-05,Support,71
bjames2i@addtoany.com,2017-11-16,3887.32,"195 Green Hill",679067,673266500,91,6968005000,1994-09-16,"Product Management",53
gtroak2j@go.com,2018-11-19,4125.07,"96 Moose Road",595599,917602300,92,7881709758,1996-04-10,Marketing,11
obrik2k@linkedin.com,2018-11-13,3029.3,"9737 Bluejay Court",459825,990355858,93,5815188963,1991-11-14,"Research and Development",29
jelderfield2l@parallels.com,2018-06-01,5052.28,"87625 Jana Crossing",374710,83931900,94,3053084659,1983-09-06,"Research and Development",44
ksenyard2m@lulu.com,2017-12-06,2866.18,"9926 Ridge Oak Lane",995802,674298880,95,9921162891,1972-05-17,Training,51
oedge2n@marketwatch.com,2017-08-15,7328.47,"193 Roxbury Terrace",904509,535638961,96,3691661714,1999-04-16,Services,74
cbryers2o@studiopress.com,2018-10-10,5317.36,"2515 International Pass",622513,926577429,97,8735449521,1997-10-14,"Human Resources",24
gdurrand2p@4shared.com,2018-10-31,5077.82,"98285 Sugar Way",483978,667452851,98,7144244528,1982-11-10,"Business Development",26
ndaguanno2q@wired.com,2017-11-30,8568.04,"9 Gale Hill",239637,630099763,99,9287283195,1977-10-16,"Human Resources",76
cellingham2r@about.com,2018-10-13,7977.39,"21027 Toban Street",686060,217058721,100,6307407130,1995-04-22,Legal,47
ctutchell2s@reuters.com,2018-12-27,6938.46,"2156 Johnson Street",642203,517144810,101,3163435658,1984-12-22,Legal,26
lcargo2t@deviantart.com,2017-08-16,6089.51,"0118 Quincy Pass",634905,22653319,102,7207225161,1976-02-04,"Business Development",28
vsvanini2u@imgur.com,2019-02-04,487.98,"4 Almo Park",175140,461651414,103,2586691184,1970-01-11,"Human Resources",93
vknagges2v@about.me,2018-10-29,6433.03,"2 Reindahl Point",495972,513681102,104,8617196644,1983-04-27,Engineering,55
jfewlass2w@slashdot.org,2019-05-24,9908.78,"2 Moulton Circle",862431,387973552,105,4658430013,1973-10-29,Accounting,46
msmalles2x@opensource.org,2017-10-22,5195.1,"2 Anthes Circle",422051,697857107,106,1225074070,1994-10-14,Legal,95
mklemmt2y@home.pl,2017-07-14,3723.14,"801 Stuart Way",708619,463839155,107,5029811176,1987-05-16,Legal,98
dbarti2z@amazon.de,2018-04-13,3639.46,"4673 Swallow Trail",888240,457037974,108,8361217320,1988-06-16,Legal,70
ddelcastel30@goo.ne.jp,2018-07-14,8339.25,"68 Blaine Point",648410,751728487,109,5732617048,1972-01-15,"Research and Development",46
areap31@craigslist.org,2018-10-08,4913.54,"9516 Bonner Junction",432244,22264926,110,5962668070,1981-10-01,"Research and Development",42
flakenden32@seattletimes.com,2019-03-25,4906.17,"71 Maple Wood Place",665874,315853623,111,3007226688,1970-01-26,Training,55
vtruckell33@csmonitor.com,2018-10-31,1915.19,"5 Ridgeway Street",690904,905610491,112,6782859084,1980-05-01,Sales,49
agotliffe34@europa.eu,2018-10-28,2858.88,"56 Jay Junction",145023,239333038,113,3371944452,1990-03-03,Sales,3
mmanzell35@businessweek.com,2018-03-30,3232.43,"90 Gale Hill",898604,330062472,114,7291483523,1994-04-05,Services,57
ggillis36@unicef.org,2017-12-06,6278.98,"5983 Merry Trail",325804,942917765,115,5566100576,1998-01-13,"Research and Development",96
jocallaghan37@google.ca,2018-12-20,7987.14,"400 Thompson Drive",496498,372244719,116,7092657677,1973-05-05,Support,86
cgerritsma38@people.com.cn,2018-01-09,5125.99,"638 Forest Run Trail",89590,561645941,117,4666685140,1995-05-27,Legal,35
cgobel39@github.com,2018-04-18,1242.41,"06 Lindbergh Point",766193,885157389,118,4823045128,1977-04-12,Sales,34
ahullot3a@rediff.com,2017-09-07,5563.63,"59184 North Parkway",527147,531679960,119,6012274790,1982-02-23,Engineering,87
ieliassen3b@techcrunch.com,2019-04-22,9637.18,"37 Caliangt Point",160183,498828150,120,2352684077,1980-03-29,"Product Management",25
astathor3c@hc360.com,2017-12-18,1178.3,"2 Waxwing Plaza",424588,487919366,121,4725142827,1993-04-23,Training,71
gpedlar3d@multiply.com,2019-04-22,3731.26,"8 Northwestern Point",42793,101108297,122,8542277079,1972-12-25,Sales,60
gskalls3e@forbes.com,2017-07-09,5354.98,"84 Debra Lane",244679,494926310,123,6557914145,1975-09-16,Services,48
icheccuzzi3f@cafepress.com,2019-02-11,9521.93,"3 Oak Crossing",911250,867517138,124,1918444526,1977-06-18,Legal,35
phuntriss3g@yellowbook.com,2019-05-22,3661.4,"02 Leroy Way",509677,775075760,125,9207893833,1972-11-29,Support,10
gvonnassau3h@dropbox.com,2017-07-17,7557.34,"54082 Crest Line Lane",660322,479275319,126,2465753232,1978-08-05,Engineering,41
gfarrall3i@list-manage.com,2018-02-15,1762.74,"9 Gulseth Court",752037,436263454,127,2387108808,1978-03-29,Accounting,67
ivandenhoff3j@mit.edu,2019-05-02,8232.36,"6695 Fallview Point",382976,980084118,128,3921524370,1984-06-11,"Business Development",55
ogobel3k@creativecommons.org,2018-10-19,53.78,"2170 Crowley Pass",458379,143451391,129,5125547197,1985-02-08,Marketing,26
jlathbury3l@printfriendly.com,2017-10-01,1517.27,"5797 Heffernan Terrace",95894,443518842,130,7573421413,1992-12-26,Sales,40
rbison3m@trellian.com,2018-06-09,632.55,"3213 Mariners Cove Drive",814006,136335521,131,3108005072,1972-11-22,"Business Development",51
abellenger3n@ucoz.ru,2019-03-12,6713.15,"97 Portage Center",604801,161526099,132,1791920480,1971-03-09,Engineering,75
mberre3o@desdev.cn,2017-09-11,2110.78,"4 Bluejay Plaza",114559,575170805,133,2977528936,1999-05-18,"Product Management",27
gconing3p@aol.com,2017-07-01,2914.42,"7186 Evergreen Hill",321461,746718062,134,6752255847,1983-01-08,"Product Management",78
jbellringer3q@istockphoto.com,2018-01-10,9978.82,"18 Clarendon Plaza",65036,141892658,135,9753429871,1990-02-14,Services,34
lrowett3r@webnode.com,2019-05-23,886.52,"4173 Westerfield Court",766967,392881185,136,5559237399,1976-10-03,"Product Management",7
lgallamore3s@vistaprint.com,2018-07-18,4885.87,"8 Kensington Road",238931,966238112,137,8292273293,1998-11-05,Support,17
bkurtis3t@nationalgeographic.com,2017-09-03,2209.32,"1 Center Center",474209,535967887,138,3707239026,1994-09-18,Legal,91
ydeyenhardt3u@technorati.com,2017-08-15,4513.17,"7375 Claremont Road",448000,26469196,139,2801862619,1997-05-21,"Human Resources",85
bmcart3v@usda.gov,2017-11-04,6319.02,"89174 Myrtle Terrace",39850,70024429,140,9834459752,1980-05-18,Sales,65
mtolle3w@yelp.com,2017-08-01,5809.17,"6 Golden Leaf Pass",249690,158347671,141,6999647126,1986-05-02,"Product Management",75
educhesne3x@reddit.com,2018-06-21,9528.48,"81834 Monica Lane",59674,391904017,142,1626300442,1993-07-05,Services,88
ulaffin3y@buzzfeed.com,2019-02-23,9677.71,"6645 Golf Course Place",547004,623368821,143,7111007996,1970-07-31,Services,18
dbibbie3z@delicious.com,2018-12-03,6527.92,"0 Mallory Terrace",271673,236865977,144,7657585881,1973-09-23,Engineering,11
cburdis40@jugem.jp,2018-03-09,5397.84,"3515 Mayfield Junction",940372,602194287,145,3311131365,1996-09-10,"Product Management",100
ssturgeon41@time.com,2018-03-03,7416.48,"113 Norway Maple Pass",373584,621204692,146,3011642962,1998-09-03,Sales,73
sfeasey42@cargocollective.com,2019-05-19,6037.95,"4557 Crowley Avenue",667161,44367404,147,6914080162,1976-07-26,Training,97
mwemyss43@usda.gov,2018-02-27,862.48,"03 Montana Plaza",487108,619814476,148,8534373024,1993-01-04,Legal,96
sgraeber44@sitemeter.com,2017-08-29,8484.18,"04846 Grover Circle",452804,820722860,149,3367282898,1985-11-29,Legal,33
mdyche45@statcounter.com,2018-11-12,1876.77,"50 Maple Parkway",215219,195324655,150,2489377571,1983-01-30,Support,26
pantley46@quantcast.com,2017-09-18,74.79,"7142 Coolidge Terrace",536969,624769619,151,2034163369,1993-12-17,"Business Development",21
zgooda47@ca.gov,2018-07-15,855.17,"53 Sherman Point",913516,5423086,152,5805176341,1982-05-04,Services,9
rgarforth48@discovery.com,2018-05-17,8329.08,"4801 Carpenter Drive",552435,560536691,153,2866838805,1985-02-13,"Human Resources",18
kfolonin49@go.com,2018-08-14,8563.1,"680 Doe Crossing Crossing",275119,373106074,154,5011903453,1978-02-18,Support,7
rfiddiman4a@furl.net,2018-06-22,5854.01,"061 Valley Edge Parkway",251922,311342637,155,5523482017,1978-10-19,Engineering,37
nsmail4b@so-net.ne.jp,2018-05-06,3146.85,"9 Commercial Trail",628845,170049560,156,6383441334,1987-10-08,Accounting,55
nbonnesen4c@apple.com,2019-02-06,2118.08,"823 Eagle Crest Trail",995491,596099764,157,1083921354,1982-12-09,Training,51
abatie4d@blogs.com,2019-02-07,4115.85,"48402 Huxley Lane",2784,101011438,158,6026224788,1975-01-08,Engineering,38
aropp4e@imdb.com,2019-03-09,7144.61,"2056 Golden Leaf Plaza",361828,421966645,159,3899547817,1970-08-07,Marketing,91
flapham4f@com.com,2018-01-21,1508.22,"28 Meadow Valley Street",197422,955151455,160,2605961451,1970-02-04,Sales,79
erobecon4g@creativecommons.org,2017-12-10,5976.73,"5 Continental Center",265950,22061767,161,9795584702,1994-08-12,Legal,39
lkelland4h@arstechnica.com,2018-05-20,9264.64,"124 Bowman Drive",664583,428286266,162,7328712508,1972-05-01,"Product Management",82
ckofax4i@hud.gov,2019-02-20,5751.83,"18690 Summit Junction",461419,283366627,163,9944319223,1981-06-29,Accounting,21
ubiggerstaff4j@behance.net,2017-12-20,4047.85,"2046 Shelley Lane",96556,435514736,164,2407352227,1981-08-08,Engineering,17
nsafhill4k@icq.com,2018-08-08,7310.27,"157 Banding Park",194131,430458117,165,2356764317,1988-10-30,Engineering,100
emcgarvie4l@friendfeed.com,2019-01-28,3607.41,"7 Maywood Park",85728,663888517,166,4579826003,1987-06-11,"Research and Development",4
eesch4m@google.com.au,2018-04-22,1139.35,"2 Crescent Oaks Center",75424,792429906,167,2737208138,1993-04-11,"Product Management",77
thuriche4n@ebay.com,2019-04-22,737.51,"19 Reindahl Crossing",559648,631889758,168,2143093279,1999-05-21,"Business Development",67
graxworthy4o@webnode.com,2019-03-11,6158.44,"83426 Hudson Parkway",122032,57437915,169,4179034792,1972-07-19,Accounting,21
llambie4p@unesco.org,2018-09-13,7978.11,"0692 Mayer Way",479154,355532855,170,2852109719,1975-12-27,Marketing,51
fscothorn4q@time.com,2018-06-11,6605.69,"87 Granby Trail",776296,995274773,171,2565993980,1995-09-16,"Research and Development",21
jgley4r@imdb.com,2019-03-22,9384.81,"08 Village Hill",621106,817135178,172,9413117136,1974-04-15,Marketing,19
ibuxcey4s@arstechnica.com,2018-01-06,2806.93,"51 Mccormick Crossing",852775,106080260,173,2767196179,1993-11-08,Support,2
bfaltskog4t@disqus.com,2019-01-12,1195.89,"8 Forest Run Street",647144,842633683,174,2275324844,1985-05-07,Support,91
dburchess4u@xing.com,2019-05-09,4678.39,"29 International Street",258254,60997132,175,4023791007,1983-06-23,"Business Development",76
ebourley4v@wordpress.org,2018-02-22,386.89,"66564 Lighthouse Bay Plaza",543717,536495394,176,6365569419,1999-03-09,Legal,39
gmicco4w@msu.edu,2017-11-20,1501.2,"05519 Logan Road",289673,944973197,177,4638766731,1981-03-23,"Business Development",33
frosbrough4x@theguardian.com,2019-01-16,8728.7,"5072 Golf View Drive",156294,857837674,178,5973843707,1973-03-15,Support,17
rcruz4y@constantcontact.com,2017-12-08,6689.16,"26505 Superior Lane",674383,778239437,179,9892796466,1972-06-22,"Human Resources",84
splayfair4z@miibeian.gov.cn,2017-09-29,3653.9,"83 Buena Vista Plaza",861176,776724159,180,1928145825,1987-11-16,Engineering,50
bpotticary50@unesco.org,2019-05-25,9075.32,"8646 Spenser Parkway",613259,845732762,181,1292236240,1984-06-01,Engineering,39
cmccandie51@yelp.com,2018-12-27,5414.58,"80 Kingsford Pass",218958,695277294,182,1626935359,1974-01-11,Support,1
ebasham52@zimbio.com,2019-03-02,2145.97,"280 Talmadge Point",640363,355670400,183,1297701517,1971-11-17,Legal,2
imangeot53@disqus.com,2017-09-20,7036.67,"273 Oakridge Alley",597535,978640225,184,9264488987,1971-05-11,"Product Management",93
mbickers54@wunderground.com,2017-08-05,2139.64,"8888 Becker Center",47749,777077646,185,1524717139,1985-10-03,"Research and Development",63
kpattington55@vkontakte.ru,2019-05-15,3792.69,"18 Anderson Court",810235,122004637,186,1786203337,1975-08-25,Sales,47
lalmon56@reuters.com,2017-09-23,2452.38,"2721 Debra Hill",536706,986324098,187,8015144093,1978-12-13,Legal,13
rlundy57@ft.com,2018-11-04,280.73,"4 Swallow Point",464662,907377754,188,6154312038,1991-04-24,Engineering,25
spunt58@youtube.com,2017-12-28,3914.57,"29 Cherokee Hill",518315,293565418,189,2167197874,1995-02-26,"Research and Development",93
mfields59@constantcontact.com,2019-03-20,1590.41,"371 Elmside Avenue",559532,912596128,190,5055143289,1984-05-10,"Business Development",32
ycharlotte5a@pbs.org,2018-08-31,2051.84,"8161 Hayes Pass",655423,88842299,191,9881886683,1977-01-13,"Research and Development",31
cbirdseye5b@prnewswire.com,2018-06-20,4667.6,"8 Northridge Center",15778,671144851,192,4037223767,1986-09-13,Engineering,69
sswindell5c@state.tx.us,2019-05-08,197.02,"2 Pond Lane",505289,798605049,193,4385948210,1971-01-07,"Human Resources",66
pchawkley5d@elegantthemes.com,2017-09-07,916.16,"9 Ridge Oak Road",537562,521030574,194,2672719155,1972-01-27,Support,35
rowbrick5e@hubpages.com,2017-10-05,5883.5,"8185 Novick Point",5686,435659023,195,1998081163,1996-03-18,Accounting,73
mleat5f@nature.com,2017-10-19,1701.19,"66 Clyde Gallagher Avenue",20911,214701544,196,7251651901,1999-02-15,Engineering,21
rreeks5g@eepurl.com,2018-01-04,2712.75,"0643 Eliot Crossing",977871,727520378,197,1183408771,1989-03-08,Marketing,75
arenforth5h@mit.edu,2018-09-12,6135.89,"1 Dixon Parkway",759198,989236836,198,5124290934,1994-05-11,"Business Development",10
meastcott5i@google.de,2019-03-14,859.16,"263 Pepper Wood Center",960208,274513524,199,3697137277,1990-02-16,Marketing,29
msalliere5j@liveinternet.ru,2017-12-18,8583.89,"004 Waxwing Street",356111,380263452,200,3413047682,1989-11-30,"Research and Development",24
